SPIM Version 8.0 of January 8, 2010
Copyright 1990-2010, James R. Larus.
All Rights Reserved.
See the file README for a full copyright notice.
Loaded: /var/lib/spim/exceptions.s
Dense Rep 
1	1	2	3	4	0	0	0	0	0	
1	2	3	4	5	0	3	0	0	0	
2	3	4	5	6	0	0	0	0	0	
3	4	5	6	7	0	0	0	0	0	
4	5	6	7	8	0	2	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	7	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
Sparse Rep 
1	1	2	3	4	0	0	0	0	0	
1	2	3	4	5	0	3	0	0	0	
2	3	4	5	6	0	0	0	0	0	
3	4	5	6	7	0	0	0	0	0	
4	5	6	7	8	0	2	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	7	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
